Number      rtot_com_com         rx_com_com         ry_com_com         rz_com_com          angle_pa1          angle_pa2          angle_pa3       s1_energy_tot       s0s1_energy_exc   s0s1_osc_strength    s1_energy_bind   lifetimes_fluo 
 001           4.193966           2.828085           0.006893           3.096973           0.013453           0.048562           0.050251        1230.652620           3.019545           0.000000           0.670069    2.217184E-02    
 002           4.021821           1.245808           2.168381           3.149783           4.707233          53.595086          53.354744        1230.648747           3.270915           0.065084           0.564704    3.309594E-08    
 004           3.135784           0.000470           0.000276           3.135784           0.012179          49.770137          49.770140        1230.671005           2.458072           0.030232           1.170350    1.261616E-07    
 005           4.016135           1.238361           2.158867           3.151999           4.901013          52.636266          52.372253        1230.648740           3.269562           0.062791           0.564503    3.433327E-08    
 007           4.014050           1.441005           1.962617           3.191274           5.138748          46.707582          46.473712        1230.652274           3.023907           0.068763           0.660671    3.665178E-08    
 008           4.017301           1.454659           1.959918           3.190829           5.138209          46.548293          46.310732        1230.652274           3.024778           0.068918           0.660679    3.654869E-08    
 009           4.024370           0.628820           2.329653           3.220692           0.012507           0.015583           0.010053        1230.649954           3.292971           0.000000           0.597525    1.118562E-01    
 010           4.013975           1.438275           1.965154           3.190851           5.126319          46.784061          46.553039        1230.652274           3.023915           0.068896           0.660674    3.658089E-08    
 011           3.306128           0.025082           0.036382           3.305833           0.217868           0.309938           0.220578        1230.665750           2.604213           0.000001           1.027368    5.879073E-03    
 012           4.190975           2.831341           0.001500           3.089948           0.009061           0.025572           0.023933        1230.652583           3.012183           0.000000           0.669067    1.607570E-02    
 013           3.917426           0.005329           2.240719           3.213312           2.329188          60.166919          60.167478        1230.648671           3.354652           0.151313           0.562632    1.353376E-08    
 014           4.014879           1.442487           1.959929           3.193300           5.114823          46.590558          46.363081        1230.652286           3.027533           0.067800           0.660997    3.708337E-08    
 015           3.235141           0.023798           0.002622           3.235052           0.040594          78.932262          78.932265        1230.655841           3.065081           0.124603           0.757724    1.968688E-08    
 016           3.137042           0.010691           0.000216           3.137024           0.068109          49.651773          49.651734        1230.671013           2.461927           0.030172           1.170593    1.260177E-07    
 017           3.136591           0.000206           0.000012           3.136591           0.002015          49.675207          49.675207        1230.671010           2.460896           0.030175           1.170500    1.261121E-07    
 018           4.015995           2.696967           0.302407           2.960260           5.195874          46.700005          46.456226        1230.652328           3.022880           0.069151           0.662149    3.647136E-08    
 019           4.015383           1.441827           1.965001           3.191113           5.140736          46.706780          46.472739        1230.652275           3.024354           0.068865           0.660682    3.658678E-08    
 020           5.347531           3.900760           2.170611           2.944249           0.244730           0.674053           0.710070        1230.643682           3.129490           0.000023           0.426856    1.013748E-04    
 021           3.133351           0.002668           0.002945           3.133348           0.056485          49.835252          49.835276        1230.671003           2.454488           0.030356           1.170314    1.260161E-07    
 022           4.015254           0.629246           2.302608           3.228670           0.586064           0.768622           0.519117        1230.649951           3.291171           0.000094           0.597442    2.271517E-05    
 023           4.016890           1.220765           2.179202           3.145825           4.903054          52.582361          52.319719        1230.648735           3.269411           0.062597           0.564355    3.444286E-08    
 024           4.015568           1.449164           1.959859           3.191185           5.140629          46.591786          46.355875        1230.652276           3.024377           0.068762           0.660720    3.664103E-08    
 027           4.021754           2.706437           0.292647           2.960417           5.089654          46.701879          46.471284        1230.652331           3.023224           0.069541           0.662213    3.625838E-08    
 028           4.014318           1.441359           1.962699           3.191401           5.149159          46.689032          46.454463        1230.652273           3.024031           0.068689           0.660638    3.668866E-08    
 029           4.013608           1.443951           1.959446           3.191336           5.127973          46.537040          46.300716        1230.652277           3.025186           0.068535           0.660748    3.674291E-08    
 030           4.192906           2.825068           0.011826           3.098275           0.042442           0.055507           0.036598        1230.652620           3.018822           0.000000           0.670088    3.890464E-02    
 031           3.238790           0.096801           0.091959           3.236037           0.280974          79.089828          79.090535        1230.655771           3.070426           0.124801           0.755815    1.958736E-08    
 032           4.017598           1.258314           2.139062           3.159454           5.087830          53.016169          52.734130        1230.648713           3.268405           0.064368           0.563772    3.351557E-08    
 033           4.192270           2.824791           0.014136           3.097657           0.007154           0.014250           0.013908        1230.652621           3.019139           0.000000           0.670096    4.213783E-01    
 034           4.017615           2.699614           0.303018           2.959982           5.183381          46.717279          46.475738        1230.652329           3.023287           0.069250           0.662165    3.640935E-08    
 035           4.188122           2.825548           0.022838           3.091298           0.020581           0.020612           0.002287        1230.652580           3.011194           0.000000           0.669003    3.177037E-01    
 036           4.021490           1.680158           1.705207           3.231365           1.744775          57.080548          57.073148        1230.648508           3.370685           0.179604           0.558185    1.129371E-08    
 037           3.234498           0.008951           0.001689           3.234485           0.067453          78.833423          78.833457        1230.655843           3.064664           0.124950           0.757782    1.963762E-08    
 038           3.950479           0.081682           2.292469           3.216240           1.422165          59.019104          59.019280        1230.648659           3.364621           0.170509           0.562285    1.193904E-08    
 039           3.137672           0.000232           0.000089           3.137672           0.000609          49.554685          49.554685        1230.671020           2.464478           0.030100           1.170771    1.260607E-07    
 040           4.031204           0.710580           2.315109           3.222724           0.003228           0.006733           0.006704        1230.649981           3.273649           0.000000           0.598259    3.072044E-01    
 041           4.013718           1.434053           1.968534           3.190344           5.112841          46.875276          46.646336        1230.652273           3.023987           0.069060           0.660636    3.649254E-08    
 042           4.196226           2.832554           0.015780           3.095917           0.042015           0.042355           0.007463        1230.652619           3.020450           0.000000           0.670059    8.148630E-02    
 043           4.023332           0.606146           2.335111           3.219789           0.005655           0.016976           0.016682        1230.649939           3.298189           0.000000           0.597115    5.741327E-03    
 045           3.298957           0.014802           0.022153           3.298849           0.011874           0.012082           0.002628        1230.665683           2.585900           0.000000           1.025534    1.723202E+00    
 046           4.016436           2.696241           0.304185           2.961336           5.122794          46.767766          46.534715        1230.652329           3.022805           0.069144           0.662158    3.647645E-08    
 048           4.013666           1.434937           1.964552           3.192336           5.183505          46.794892          46.557055        1230.652272           3.023825           0.068890           0.660603    3.658666E-08    
 049           4.191685           2.823332           0.012649           3.098203           0.028423           0.037558           0.025760        1230.652619           3.018792           0.000000           0.670058    4.958530E-02    
 050           3.135412           0.008818           0.003572           3.135398           0.021581          49.745270          49.745269        1230.670999           2.457848           0.030232           1.170211    1.261883E-07    
 051           3.137680           0.003067           0.000951           3.137679           0.010867          49.539024          49.539025        1230.671020           2.464761           0.030098           1.170770    1.260392E-07    
 052           4.014748           1.442113           1.965121           3.190111           5.096867          46.643011          46.412439        1230.652276           3.024723           0.068668           0.660729    3.668319E-08    
 053           3.137059           0.001092           0.000162           3.137059           0.019883          49.589871          49.589862        1230.671015           2.462586           0.030111           1.170648    1.262064E-07    
 054           4.013527           1.445919           1.955950           3.192488           5.188686          46.655632          46.414549        1230.652271           3.023689           0.068829           0.660585    3.662231E-08    
 055           4.014194           1.442451           1.962264           3.191020           5.131955          46.697988          46.465365        1230.652274           3.024095           0.068747           0.660680    3.665576E-08    
 056           4.014778           0.829781           2.240055           3.226772           0.823443           1.979239           1.804110        1230.649950           3.250224           0.000801           0.597422    2.724817E-06    
 057           4.195126           2.828548           0.007943           3.098118           0.058632           0.080478           0.059701        1230.652618           3.019473           0.000000           0.670027    2.689054E-02    
 058           4.017272           2.697717           0.303886           2.961156           5.115466          46.756794          46.525043        1230.652329           3.022884           0.069147           0.662159    3.647321E-08    
 059           4.018366           2.698942           0.298515           2.962071           5.064907          46.718380          46.491895        1230.652332           3.023262           0.069223           0.662255    3.642413E-08    
 060           4.023843           0.709123           2.302109           3.223159           0.024502           0.036715           0.027906        1230.649985           3.273982           0.000000           0.598389    7.962938E-03    
 061           4.015700           2.696370           0.302489           2.960394           5.193494          46.611134          46.366096        1230.652329           3.023072           0.068925           0.662170    3.658623E-08    
 062           4.014444           1.215832           2.171439           3.149980           4.963181          52.505300          52.234199        1230.648735           3.268382           0.062403           0.564366    3.457147E-08    
 063           3.138679           0.005862           0.013345           3.138645           0.095089          50.050120          50.050020        1230.671022           2.466087           0.030837           1.170829    1.228863E-07    
 064           4.195151           2.830684           0.004101           3.096208           0.028435           0.030247           0.012319        1230.652619           3.019864           0.000000           0.670054    4.211760E-01    
 065           4.187592           2.818031           0.003326           3.097517           0.034592           0.035812           0.011390        1230.652622           3.017475           0.000000           0.670138    6.327650E-01    
 066           4.016239           1.441277           1.967735           3.190754           5.128952          46.704192          46.470962        1230.652276           3.024801           0.068848           0.660713    3.658510E-08    
 067           4.014726           1.438672           1.965188           3.191596           5.158398          46.722117          46.486289        1230.652272           3.024188           0.068790           0.660623    3.663094E-08    
 068           4.019373           2.701418           0.304152           2.960607           5.138514          46.550075          46.308799        1230.652328           3.024511           0.069112           0.662142    3.645219E-08    
 069           4.025126           0.759387           2.284721           3.225681           0.311708           0.614316           0.537895        1230.649923           3.261480           0.000083           0.596698    2.604915E-05    
 070           4.190139           2.822149           0.006245           3.097209           0.029156           0.034920           0.020156        1230.652622           3.018260           0.000000           0.670123    1.806959E-01    
 071           3.295895           0.029958           0.039118           3.295527           0.026895           0.172173           0.170348        1230.665662           2.582322           0.000000           1.024963    1.025508E-02    
 072           3.996451           1.432279           1.933819           3.190696           5.061257          46.473726          46.240583        1230.652229           3.021740           0.068183           0.659444    3.701708E-08    
 073           4.016663           1.445702           1.965555           3.190631           5.131957          46.649670          46.415723        1230.652274           3.024548           0.068828           0.660662    3.660201E-08    
 074           4.193887           2.828968           0.015048           3.096030           0.056976           0.059108           0.016155        1230.652621           3.019912           0.000000           0.670122    3.198705E-02    
 075           4.027848           0.726599           2.303277           3.223434           0.005160           0.008098           0.006831        1230.649987           3.270234           0.000000           0.598426    7.836091E-03    
 076           5.350043           3.911448           2.161128           2.941609           0.083639           0.225294           0.233122        1230.643684           3.128695           0.000002           0.426920    1.017419E-03    
 079           4.204346           2.844782           0.006550           3.095755           0.045370           0.171443           0.174435        1230.652615           3.022975           0.000001           0.669943    1.747649E-03    
 080           4.191065           2.822893           0.012360           3.097765           0.013999           0.048512           0.050378        1230.652621           3.019045           0.000000           0.670107    3.511706E-02    
 081           4.021017           0.569476           2.338767           3.220939           0.200174           0.349476           0.306817        1230.649910           3.304922           0.000031           0.596333    6.831777E-05    
 082           4.017823           1.259920           2.137385           3.160236           5.089464          52.983381          52.701255        1230.648718           3.268246           0.064342           0.563911    3.353267E-08    
 083           3.299877           0.019223           0.031088           3.299674           0.070430           1.010617           1.010740        1230.665663           2.590048           0.000013           1.025001    2.691456E-04    
 084           3.136683           0.002954           0.001033           3.136681           0.028820          49.663415          49.663410        1230.671011           2.461212           0.030174           1.170532    1.260817E-07    
 085           4.027287           0.697224           2.312793           3.222407           0.050111           0.113818           0.105100        1230.649978           3.276940           0.000006           0.598201    3.818708E-04    
 087           5.338365           3.902536           2.143143           2.945385           0.033662           0.041156           0.041325        1230.643681           3.132140           0.000000           0.426837    2.973584E-02    
 088           3.947084           1.902543           1.308388           3.201238           1.469178          59.387598          59.385402        1230.648742           3.365126           0.169251           0.564553    1.202415E-08    
 089           5.350466           3.921761           2.143424           2.941599           0.024122           0.024369           0.014466        1230.643693           3.132020           0.000000           0.427161    7.341600E-02    
 090           4.017722           1.257827           2.138269           3.160343           5.125723          53.008027          52.721704        1230.648719           3.268535           0.064453           0.563922    3.346904E-08    
